일시,서울 평균기온(℃),경기 평균기온(℃),평균온도,서울 강수량(mm),경기 강수량(mm)
2020-06-01,19.7,18.9,19.3,0.4,0.2
2020-06-02,17.9,18.3,18.1,2,1.1
2020-06-03,22,21.9,21.95,0,0.1
2020-06-04,21.9,22.3,22.1,0.2,0.4
2020-06-05,23,21.5,22.25,0,0
2020-06-06,24.6,23.3,23.95,0,0
2020-06-07,22.7,21.6,22.15,0,0
2020-06-08,25,24.1,24.55,0,0
2020-06-09,26.7,25.7,26.2,0,0
2020-06-10,25.8,25.4,25.6,6.2,10.8
2020-06-11,26.1,25.4,25.75,0,0
2020-06-12,24.7,23.4,24.05,0,0
2020-06-13,26.9,25.7,26.3,0,0.1
2020-06-14,24,22.9,23.45,1.1,1.1
2020-06-15,23,22.3,22.65,0,0
2020-06-16,24.4,23.4,23.9,0,0
2020-06-17,24.3,22.9,23.6,0,0
2020-06-18,23.4,22.7,23.05,0,0
2020-06-19,24.7,23.8,24.25,0.1,0.4
2020-06-20,24.9,23.6,24.25,0,0
2020-06-21,26.1,24.2,25.15,0,0
2020-06-22,28.6,26.5,27.55,0,0
2020-06-23,27.3,25.5,26.4,0,0
2020-06-24,22.3,22.5,22.4,37.6,14.1
2020-06-25,21.6,21.6,21.6,13.3,4.4
2020-06-26,21.8,21.8,21.8,2.1,2.1
2020-06-27,24.1,23.7,23.9,0,0
2020-06-28,25.2,23.5,24.35,0,0
2020-06-29,23.8,22.7,23.25,11.9,29.5
2020-06-30,20.1,20.2,20.15,64.7,26.8
