iter	MAPE
0	0.944857932
1	0.9438965696
2	0.9419080223
3	0.940457104
4	0.9390652679
5	0.938976325
6	0.9381603598
7	0.936603032
8	0.9345963642
9	0.9329914516
10	0.9316067401
11	0.9304251521
12	0.9293159348
13	0.9281649296
14	0.9267136766
15	0.9255627959
16	0.924632665
17	0.9235321565
18	0.923260579
19	0.9215229864
20	0.9204057672
21	0.9195981923
22	0.9192125835
23	0.9187193192
24	0.9185369424
25	0.9182828332
26	0.9180630162
27	0.9174372663
28	0.9165589492
29	0.9156306972
30	0.9150640343
31	0.9146845118
32	0.9137508173
33	0.9134155501
34	0.9130233611
35	0.9124240881
36	0.9112100448
37	0.9104518361
38	0.9092775341
39	0.9086684728
40	0.9079721222
41	0.9074661847
42	0.906898317
43	0.9062772366
44	0.9061650482
45	0.9054172867
46	0.9051324013
47	0.9046175283
48	0.9039316085
49	0.9033092164
50	0.9026145775
51	0.901943302
52	0.9017184616
53	0.9009589091
54	0.9007848749
55	0.9003541855
56	0.8996982548
57	0.8988364049
58	0.898198598
59	0.8971880054
60	0.8967415847
61	0.8964717737
62	0.89607742
63	0.8950288976
64	0.8944562558
65	0.8939576639
66	0.8935616443
67	0.8933597347
68	0.8927306814
69	0.892410199
70	0.8920515205
71	0.8917813794
72	0.8913872926
73	0.8911384375
74	0.8903951162
75	0.889870803
76	0.8894852011
77	0.8890485628
78	0.8881573075
79	0.8878269367
80	0.8875010669
81	0.8870390943
82	0.8867073588
83	0.885795442
84	0.8845317472
85	0.8836985613
86	0.8832612278
87	0.8829648424
88	0.8822320922
89	0.8818029924
90	0.8816015148
91	0.880783386
92	0.8805141077
93	0.880195267
94	0.8799931282
95	0.8798076916
96	0.8796999429
97	0.879380423
98	0.8790098096
99	0.8785964317
100	0.8782871292
101	0.8779774552
102	0.8775509634
103	0.8771178233
104	0.8769806065
105	0.8767961731
106	0.8764971941
107	0.8761497979
108	0.8759301016
109	0.8753647421
110	0.8750498106
111	0.8747483954
112	0.8746367562
113	0.8743067377
114	0.8740743868
115	0.8738540362
116	0.8735171573
117	0.8732292033
118	0.8728379821
119	0.8726840961
120	0.8723018139
121	0.8718261125
122	0.8711411719
123	0.870607728
124	0.8704616896
125	0.8703997055
126	0.8701261911
127	0.8698785181
128	0.8697091925
129	0.8692668395
130	0.8688914586
131	0.8686480306
132	0.8683318149
133	0.8682167371
134	0.867941526
135	0.8676356536
136	0.867488365
137	0.86731947
138	0.8671499015
139	0.8668206536
140	0.8665192182
141	0.8662545846
142	0.8657826909
143	0.8652751246
144	0.8652007662
145	0.8649751499
146	0.8646698513
147	0.8644094533
148	0.8640630484
149	0.8638203019
150	0.8634612011
151	0.8631704424
152	0.862689725
153	0.8620627267
154	0.8617896355
155	0.8616362288
156	0.8613899377
157	0.8610113794
158	0.8604209331
159	0.8602777543
160	0.8601162504
161	0.859783756
162	0.8590353361
163	0.8588936526
164	0.8586793019
165	0.8584749177
166	0.8581687441
167	0.8578161564
168	0.857514229
169	0.857371795
170	0.8571268187
171	0.8570792865
172	0.857004163
173	0.8567075248
174	0.8565691191
175	0.8556862783
176	0.855144265
177	0.8549449018
178	0.854333457
179	0.8541672992
180	0.8537736634
181	0.8536419589
182	0.8529892639
183	0.8527272513
184	0.8525799906
185	0.8521056003
186	0.8518674889
187	0.8516863584
188	0.851493501
189	0.8513505981
190	0.8508476999
191	0.8506218436
192	0.8503411624
193	0.8500527829
194	0.8497051145
195	0.8493270988
196	0.8490999022
197	0.8485815696
198	0.8482018865
199	0.847958146
200	0.8477174709
201	0.8474768215
202	0.8472988178
203	0.8469837939
204	0.8467743689
205	0.8464607577
206	0.8461784413
207	0.8458648856
208	0.8457153528
209	0.8455060267
210	0.8450429091
211	0.844699887
212	0.8445008813
213	0.8443235085
214	0.8441095222
215	0.8438469651
216	0.8435765514
217	0.8432460515
218	0.8430494734
219	0.842822628
220	0.8425155091
221	0.8422866975
222	0.8421017491
223	0.8416996042
224	0.8412591907
225	0.8407600231
226	0.8404692262
227	0.8401854166
228	0.8399140847
229	0.8394434043
230	0.8389696478
231	0.838810477
232	0.8385816039
233	0.8380529875
234	0.8377368685
235	0.8375663077
236	0.837021281
237	0.8363547642
238	0.8361079858
239	0.8358535456
240	0.8356777809
241	0.8355646509
242	0.8354019443
243	0.8353462999
244	0.8348064716
245	0.8345694448
246	0.8343695939
247	0.8340034339
248	0.8335066381
249	0.8334093156
250	0.8331421277
251	0.8329287599
252	0.8328321905
253	0.8323338639
254	0.8321489164
255	0.8318926272
256	0.8315843679
257	0.8312304704
258	0.8311076834
259	0.8307817205
260	0.8303612479
261	0.8302597914
262	0.8301069363
263	0.8297051948
264	0.8293699146
265	0.8291070778
266	0.8288044775
267	0.8284986748
268	0.8282449282
269	0.8280175302
270	0.8278483598
271	0.827691786
272	0.8274132281
273	0.8272675459
274	0.8270482163
275	0.8268905146
276	0.8266856873
277	0.8261956743
278	0.8259197807
279	0.8256358405
280	0.8254952582
281	0.8252096631
282	0.8251070164
283	0.8250070047
284	0.8248471663
285	0.8244193243
286	0.8239558234
287	0.8238579188
288	0.8237587932
289	0.8236245134
290	0.8233166541
291	0.8230250543
292	0.8226211283
293	0.8223650212
294	0.822201593
295	0.8218731123
296	0.8217620578
297	0.8216230875
298	0.82129304
299	0.821205662
300	0.8209414707
301	0.8208575425
302	0.8207231602
303	0.8200319142
304	0.8197834614
305	0.8192975678
306	0.819053555
307	0.818641386
308	0.8184314196
309	0.8182387555
310	0.818027512
311	0.8177597693
312	0.8175956705
313	0.8174947737
314	0.8168611036
315	0.816690375
316	0.8164349733
317	0.8162072052
318	0.8159935429
319	0.8158443511
320	0.8155882498
321	0.8153865842
322	0.8152622622
323	0.8148136393
324	0.8145420782
325	0.8143811965
326	0.8143577076
327	0.8140141518
328	0.8137938057
329	0.813645217
330	0.8133525271
331	0.8132259787
332	0.8129790968
333	0.8127698714
334	0.8125500395
335	0.8124428859
336	0.8122833541
337	0.8120594631
338	0.8115541216
339	0.8113070812
340	0.8109794735
341	0.8109025418
342	0.8106730624
343	0.8103360653
344	0.810232891
345	0.8100590045
346	0.8099877071
347	0.8098432366
348	0.8097172694
349	0.8096429588
350	0.8094877322
351	0.8091082066
352	0.8089246654
353	0.8088086904
354	0.8086562974
355	0.8085088613
356	0.8082300907
357	0.8073030272
358	0.8071560619
359	0.8070545011
360	0.8069282791
361	0.806760017
362	0.8066454181
363	0.8065700895
364	0.8063861032
365	0.8062551393
366	0.806058285
367	0.8058536577
368	0.8057215909
369	0.8056145971
370	0.8052972797
371	0.8051071206
372	0.8049487116
373	0.8047591755
374	0.8045681262
375	0.8045089416
376	0.8043815494
377	0.8040980889
378	0.8040003669
379	0.8039352515
380	0.8037158551
381	0.8035561527
382	0.8033698308
383	0.8032437964
384	0.80306854
385	0.8027438423
386	0.8025448875
387	0.8024103523
388	0.8023027138
389	0.8021702666
390	0.8019540899
391	0.8017364509
392	0.8015525564
393	0.8013184872
394	0.8012912293
395	0.8011240691
396	0.801057414
397	0.8009675893
398	0.8007261823
399	0.8005185578
400	0.8003215526
401	0.8001466862
402	0.7999916513
403	0.7996156869
404	0.7994671123
405	0.7990782769
406	0.7988993455
407	0.7987129507
408	0.798431666
409	0.7982516277
410	0.798116497
411	0.7979966879
412	0.797826652
413	0.7976033277
414	0.7974690354
415	0.7973111253
416	0.79694559
417	0.796817348
418	0.7966918278
419	0.7965807813
420	0.7960281051
421	0.7958481677
422	0.7957253409
423	0.7956119983
424	0.7954915714
425	0.7954196906
426	0.7952388858
427	0.79511124
428	0.7949723752
429	0.7948558913
430	0.7947293407
431	0.7945389442
432	0.7943429902
433	0.794139364
434	0.7939602619
435	0.7938604106
436	0.7936792882
437	0.7935379759
438	0.7932741545
439	0.7931766166
440	0.7930370194
441	0.7929288912
442	0.7928647775
443	0.7927002622
444	0.7925060978
445	0.792113138
446	0.7920377225
447	0.7917773386
448	0.7916144568
449	0.7915758572
450	0.7912221497
451	0.7910890944
452	0.7906668824
453	0.7905314725
454	0.7902433637
455	0.7901967221
456	0.7899602633
457	0.7896965948
458	0.7894674033
459	0.7893081847
460	0.7891215836
461	0.7888674892
462	0.7886516571
463	0.7884634064
464	0.7881841215
465	0.7879753693
466	0.7878468579
467	0.7877485806
468	0.7876414235
469	0.7875716081
470	0.7874861435
471	0.787287057
472	0.7871305749
473	0.7869915276
474	0.7868565236
475	0.7867048275
476	0.7865884504
477	0.7865507994
478	0.7862510569
479	0.7861511526
480	0.7858406151
481	0.7857644777
482	0.7856167108
483	0.7853785844
484	0.7851304816
485	0.7850880582
486	0.7850078982
487	0.784891875
488	0.7846833639
489	0.7843782876
490	0.784145343
491	0.7837589945
492	0.783656902
493	0.7835044981
494	0.7834046791
495	0.7832704036
496	0.7831879162
497	0.7830241347
498	0.7827689862
499	0.7827078288
